,German,French,Alsatian,germ_pron,als_pron,fr_pron,orth_score_germ_als,orth_score_fr_als,pron_score_fr_als,pron_score_germ_als
0,Abbé,abbé,Àbt,"('AP', '')","('PT', '')","('AP', '')",0.2857142857142857,0.2857142857142857,0.5,0.5
1,abjekt,abject,.,"('APJKT', '')","('', '')","('APJKT', '')",.,.,.,.
2,Abonnement,abonnement,.,"('APNMNT', '')","('', '')","('APNMNT', '')",.,.,.,.
3,abonnieren,abonner,.,"('APNRN', '')","('', '')","('APNR', '')",.,.,.,.
4,Absence,absence,Fahla,"('APSNS', '')","('FL', '')","('APSNS', '')",0.16666666666666666,0.16666666666666666,0.0,0.0
5,absentieren,absenter,.,"('APSNTRN', '')","('', '')","('APSNTR', '')",.,.,.,.
6,Absinth,absinthe,.,"('APSN0', 'APSNT')","('', '')","('APSN0', 'APSNT')",.,.,.,.
7,Absolutismus,absolutisme,.,"('APSLTSMS', '')","('', '')","('APSLTSM', '')",.,.,.,.
8,Accessoire,accessoire,.,"('AKSSR', '')","('', '')","('AKSSR', '')",.,.,.,.
9,Accuratesse,accuratesse,.,"('AKRTS', '')","('', '')","('AKRTS', '')",.,.,.,.
10,Adele,Adèle,.,"('ATL', '')","('', '')","('ATL', '')",.,.,.,.
11,adjustieren,ajuster,.,"('ATJSTRN', '')","('', '')","('AJSTR', '')",.,.,.,.
12,Adresse,adresse,.,"('ATRS', '')","('', '')","('ATRS', '')",.,.,.,.
13,adressieren,adresser,.,"('ATRSRN', '')","('', '')","('ATRSR', '')",.,.,.,.
14,adrett,adroit,.,"('ATRT', '')","('', '')","('ATRT', '')",.,.,.,.
15,Affäre,affaire,Sàch,"('AFR', '')","('SX', 'SK')","('AFR', '')",0.0,0.0,0.0,0.0
16,Affront,affront,Belaidigung,"('AFRNT', '')","('PLTKNK', '')","('AFRNT', '')",0.2222222222222222,0.2222222222222222,0.18181818181818182,0.18181818181818182
17,agacieren,agacer,.,"('AKSRN', 'AKXRN')","('', '')","('AKSR', '')",.,.,.,.
18,Agent Provocateur,agent provocateur,.,"('AJNTPRFKTR', 'AKNTPRFKTR')","('', '')","('AJNTPRFKTR', 'AKNTPRFKTR')",.,.,.,.
19,aggressiv,agressif,.,"('AKRSF', '')","('', '')","('AKRSF', '')",.,.,.,.
20,Agiotage,agiotage,.,"('AJTJ', 'AKTK')","('', '')","('AJTJ', 'AKTK')",.,.,.,.
21,Agioteur,agioteur,.,"('AJTR', 'AKTR')","('', '')","('AJTR', 'AKTR')",.,.,.,.
22,Agoraphobie,agoraphobie,.,"('AKRFP', '')","('', '')","('AKRFP', '')",.,.,.,.
23,Agraffe,agrafe,.,"('AKRF', '')","('', '')","('AKRF', '')",.,.,.,.
24,ajourieren,ajourer,.,"('AJRRN', 'AHRRN')","('', '')","('AJRR', 'AHRR')",.,.,.,.
25,Akademie,académie,.,"('AKTM', '')","('', '')","('AKTM', '')",.,.,.,.
26,Akkord,accord,Verainbàrung,"('AKRT', '')","('FRNPRNK', '')","('AKRT', '')",0.2222222222222222,0.2222222222222222,0.18181818181818182,0.18181818181818182
27,akkordieren,accorder,.,"('AKRTRN', '')","('', '')","('AKRTR', '')",.,.,.,.
28,akkreditieren,accréditer,.,"('AKRTTRN', '')","('', '')","('AKRTTR', '')",.,.,.,.
29,Akquise,acquise,.,"('AKKS', '')","('', '')","('AKS', '')",.,.,.,.
30,Akteur,acteur,Schoischpeller,"('AKTR', '')","('XXPLR', '')","('AKTR', '')",0.2,0.3,0.2222222222222222,0.2222222222222222
31,Aktionär,actionnaire,.,"('AKXNR', '')","('', '')","('AKXNR', '')",.,.,.,.
32,alert,alerte,.,"('ALRT', '')","('', '')","('ALRT', '')",.,.,.,.
33,Aline,Aline,.,"('ALN', '')","('', '')","('ALN', '')",.,.,.,.
34,Allee,allée,.,"('AL', '')","('', '')","('AL', '')",.,.,.,.
35,Allüre,allure,.,"('ALR', '')","('', '')","('ALR', '')",.,.,.,.
36,Altruismus,altruisme,.,"('ALTRSMS', '')","('', '')","('ALTRSM', '')",.,.,.,.
37,Amateur,amateur,Amateur,"('AMTR', '')","('AMTR', '')","('AMTR', '')",1.0,1.0,1.0,1.0
38,ambig,ambigu,.,"('AMPK', '')","('', '')","('AMPK', '')",.,.,.,.
39,Ambition,ambition,.,"('AMPXN', '')","('', '')","('AMPXN', '')",.,.,.,.
40,Ambulanz,ambulance,.,"('AMPLNS', '')","('', '')","('AMPLNS', '')",.,.,.,.
41,amenagieren,aménager,.,"('AMNJRN', 'AMNKRN')","('', '')","('AMNKR', 'AMNJR')",.,.,.,.
42,Amouren,amours,.,"('AMRN', '')","('', '')","('AMRS', '')",.,.,.,.
43,amourös,amoureux,.,"('AMRS', '')","('', '')","('AMRKS', '')",.,.,.,.
44,Ampelographie,ampélographie,.,"('AMPLKRF', '')","('', '')","('AMPLKRF', '')",.,.,.,.
