loan_word,original_word
Abbé,abbé
abjekt,abject
Abonnement,abonnement
abonnieren,abonner
Absence,absence
absentieren,absenter
Absinth,absinthe
Absolutismus,absolutisme
Accessoire,accessoire
Accuratesse,accuratesse
Adele,Adèle
adjustieren,ajuster
Adresse,adresse
adressieren,adresser
adrett,adroit
Affäre,affaire
Affront,affront
agacieren,agacer
Agent Provocateur,agent provocateur
aggressiv,agressif
Agiotage,agiotage
Agioteur,agioteur
Agoraphobie,agoraphobie
Agraffe,agrafe
ajourieren,ajourer
Akademie,académie
Akkord,accord
akkordieren,accorder
akkreditieren,accréditer
Akquise,acquise
Akteur,acteur
Aktionär,actionnaire
alert,alerte
Aline,Aline
Allee,allée
Allüre,allure
Altruismus,altruisme
Amateur,amateur
ambig,ambigu
Ambition,ambition
Ambulanz,ambulance
amenagieren,aménager
Amouren,amours
amourös,amoureux
Ampelographie,ampélographie
Ampere,strong
amüsant,amusant
Amüsement,amusement
amüsieren,amuser
analog,analogue
Anarchie,anarchie
Anarchismus,anarchisme
Anarchist,anarchiste
Angiografie,angiographie
Animateur,animateur
Anisette,anisette
Annette,Annette
Annonce,annonce
anonym,anonyme
antichambrieren,antichambre
antik,antique
Antilope,antilope
Antiziganismus,antitsiganisme
Antonym,antonyme
Apanage,apanage
apart,a part
Aperitif,apéritif
Apéro,apéro
Aplomb,aplomb
Appartement,appartement
Appell,appel
Apport,apport
apropos,à propos
Ar,are
Arachnide,arachnide
Arachnophobie,arachnophobie
arbiträr,arbitraire
Arkade,arcade
Arkebuse,arquebuse
Armee,armée
Arrangement,arrangement
Arrangeur,arrangeur
arrangieren,arranger
arretieren,arrêter
arrivieren,arriver
arriviert,arriver
artifiziell,artificiel
Artillerie,artillerie
As,as
Asphalt,asphalte
Aspik,aspic
Aspirant,aspirant
Ass,as
Assiette,assiette
Astronomie,astronomie
Atelier,atelier
Attaché,attaché
Attacke,attaque
attackieren,attaquer
Attentat,attentat
Attitüde,attitude
attraktiv,attractif
Attrappe,attrape
Au-pair,au pair
Aubergine,aubergine
Autocar,autocar
Autodrom,autodrome
Automatismus,automatisme
Automobilist,automobiliste
Avance,avance
avancieren,avancer
Avantgarde,avant-garde
Aventüre,aventure
Aversion,aversion
Avis,avis
Bagage,bagage
Bagatelle,bagatelle
Baguette,baguette
Bain-Marie,bain-marie
Baiser,baiser
Baisse,baisse
Bajonett,baïonnette
Balance,balance
balancieren,balancer
Balise,baliser
Balkon,balcon
Ball,bal
Baluster,balustre
Balustrade,balustrade
Bambule,bamboula
banal,banal
banalisieren,banaliser
Banalität,banalité
Bandage,bandage
bandagieren,bandage
Banderole,banderole
Bankett,banquette
Bankier,banquier
Bar,barre
Baracke,baraque
Barbie,Barbier
Barbier,barbier
Barde,barde
Baron,Baron
Barriere,barrière
Barrikade,barricade
Baryton,baryton
Basar,bazar
Bassin,Bassin
Bastienne,Bastienne
Bataillon,bataillon
Batterie,batterie
Bauxit,bauxite
Bavardage,bavardage
Béchamelsauce,béchamel
Beduine,Bédouin
beige,(dialectal) beige
